TESTCASE,Age,Term,Vehicle_Type,Milage
FLCL2_ITIN_LTV3_>80.01_SedanMileage_PaidAuto_600,2021,66,New,101900
FLCL2_ITIN_LTV3_>80.01_SedanMileage_600,2022,72,New,101900
FLCL2_ITIN_LTV3_>80.01_SedanMileage_AB_700LTB_PaidAuto,2022,48,New,101900
FLCL3_ITIN_LTV3_>80.01_SedanMileage_B_700_PaidAuto,2025,54,Used,101900
FLCL3_ITIN_LTV3_>80.01_SedanMileage_A_700LTB,2022,60,Used,101900
FLCL3_ITIN_LTV3_>80.01_SedanMileage_C_700STB,2022,66,Used,101900
FLCL3_ITIN_LTV3_>80.01_SedanMileage_D_700,2022,72,Used,101900
FLCL2_ITIN_LTV3_0-20_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_0-20_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_0-20_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_0-20_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_0-20_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_0-20_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_0-20_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_0-20_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_0-20_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_0-20_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_20.01-30_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_20.01-30_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_20.01-30_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_20.01-30_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_20.01-30_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_30.01-40_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_30.01-40_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_30.01-40_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_30.01-40_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_30.01-40_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_40.01-50_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_40.01-50_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_40.01-50_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_40.01-50_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_40.01-50_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_50.01-60_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_50.01-60_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_50.01-60_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_50.01-60_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_50.01-60_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_60.01-70_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_60.01-70_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_60.01-70_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_60.01-70_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_60.01-70_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_70.01-80_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_70.01-80_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_70.01-80_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_70.01-80_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_70.01-80_TruckMileage_D_700,2022,72,Used,150001
FLCL2_ITIN_LTV3_>80.01_TruckMileage_None,2023,48,New,155205
FLCL2_ITIN_LTV3_>80.01_TruckMileage_<600,2022,54,New,151900
FLCL2_ITIN_LTV3_>80.01_TruckMileage_PaidAuto,2023,60,New,150909
FLCL2_ITIN_LTV3_>80.01_TruckMileage_PaidAuto_600,2021,66,New,150001
FLCL2_ITIN_LTV3_>80.01_TruckMileage_600,2022,72,New,150411
FLCL2_ITIN_LTV3_>80.01_TruckMileage_AB_700LTB_PaidAuto,2022,48,New,157538
FLCL3_ITIN_LTV3_>80.01_TruckMileage_B_700_PaidAuto,2025,54,Used,150001
FLCL3_ITIN_LTV3_>80.01_TruckMileage_A_700LTB,2022,60,Used,150001
FLCL3_ITIN_LTV3_>80.01_TruckMileage_C_700STB,2022,66,Used,150001
FLCL3_ITIN_LTV3_>80.01_TruckMileage_D_700,2022,72,Used,150001
