INFO_ID,USE_CASE,RATE
,CA_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_70.01-80_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_70.01-80_SedanMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_SedanMileage_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_>80.01_SedanMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_>80.01_SedanMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_>80.01_SedanMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_SedanMileage_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_0-20_TruckMileage_None,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_TruckMileage_<600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_0-20_TruckMileage_PaidAuto,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_TruckMileage_PaidAuto_600,{'interest_rate': 15.49}
,CA_ITIN_LTV3_0-20_TruckMileage_600,{'interest_rate': 19.99}
,CA_ITIN_LTV3_0-20_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 10.49}
,CA_ITIN_LTV3_0-20_TruckMileage_B_700_PaidAuto,{'interest_rate': 13.49}
,CA_ITIN_LTV3_0-20_TruckMileage_A_700LTB,{'interest_rate': 16.99}
,CA_ITIN_LTV3_0-20_TruckMileage_C_700STB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_TruckMileage_D_700,{'interest_rate': 19.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_None,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_<600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto_600,{'interest_rate': 15.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_20.01-30_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 10.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_B_700_PaidAuto,{'interest_rate': 13.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_A_700LTB,{'interest_rate': 17.49}
,CA_ITIN_LTV3_20.01-30_TruckMileage_C_700STB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_TruckMileage_D_700,{'interest_rate': 20.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_None,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_<600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto_600,{'interest_rate': 16.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_30.01-40_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 11.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_B_700_PaidAuto,{'interest_rate': 14.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_A_700LTB,{'interest_rate': 17.99}
,CA_ITIN_LTV3_30.01-40_TruckMileage_C_700STB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_TruckMileage_D_700,{'interest_rate': 20.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_None,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_<600,{'interest_rate': 22.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto_600,{'interest_rate': 16.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_40.01-50_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_B_700_PaidAuto,{'interest_rate': 14.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_A_700LTB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_40.01-50_TruckMileage_C_700STB,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_TruckMileage_D_700,{'interest_rate': 21.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_None,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_<600,{'interest_rate': 23.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto_600,{'interest_rate': 17.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_600,{'interest_rate': 21.99}
,CA_ITIN_LTV3_50.01-60_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_B_700_PaidAuto,{'interest_rate': 15.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_A_700LTB,{'interest_rate': 18.99}
,CA_ITIN_LTV3_50.01-60_TruckMileage_C_700STB,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_TruckMileage_D_700,{'interest_rate': 21.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_60.01-70_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_60.01-70_TruckMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_TruckMileage_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_70.01-80_TruckMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_70.01-80_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_70.01-80_TruckMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_70.01-80_TruckMileage_D_700,{'interest_rate': 22.49}
,CA_ITIN_LTV3_>80.01_TruckMileage_None,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_<600,{'interest_rate': 23.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_PaidAuto,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_600,{'interest_rate': 22.49}
,CA_ITIN_LTV3_>80.01_TruckMileage_AB_700LTB_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_B_700_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_A_700LTB,{'interest_rate': 19.49}
,CA_ITIN_LTV3_>80.01_TruckMileage_C_700STB,{'interest_rate': 20.99}
,CA_ITIN_LTV3_>80.01_TruckMileage_D_700,{'interest_rate': 22.49}
