INFO_ID,USE_CASE,RESULT
,CA_ITIN_LTV3_60.01-70_SedanMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_SedanMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_SedanMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_60.01-70_SedanMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_70.01-80_SedanMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_70.01-80_SedanMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_SedanMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_70.01-80_SedanMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_>80.01_SedanMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_>80.01_SedanMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_>80.01_SedanMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_SedanMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_>80.01_SedanMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_0-20_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_0-20_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_0-20_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_0-20_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_20.01-30_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_20.01-30_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_20.01-30_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_30.01-40_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_30.01-40_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_30.01-40_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_30.01-40_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_40.01-50_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_40.01-50_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_40.01-50_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_40.01-50_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_50.01-60_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_50.01-60_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_50.01-60_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_50.01-60_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_60.01-70_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_60.01-70_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_60.01-70_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_60.01-70_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_70.01-80_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_70.01-80_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_70.01-80_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_70.01-80_TruckMileage_D_700,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_None,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_>80.01_TruckMileage_<600,{'line5_ltv_max': 130}
,CA_ITIN_LTV3_>80.01_TruckMileage_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_>80.01_TruckMileage_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_>80.01_TruckMileage_C_700STB,{'line5_ltv_max': 132}
,CA_ITIN_LTV3_>80.01_TruckMileage_D_700,{'line5_ltv_max': 135}
